year,car_name,price_usd
1977,Lada 2106,1750.0
1976,Lada 2106,1750.0
1978,Lada 2106,1750.0
1972,Lada 2101,1700.0
1971,Lada 2103,1700.0
1973,Lada 2101,1700.0
1976,Lada 2102,1400.0
1979,Lada 2101,1700.0
1979,Lada 21011,1700.0
1960,21,1700.0
1978,Lada 2111,1700.0
1979,Moskvich 412,1700.0
1976,Lada 2103,1700.0
1978,Lada 2106,1700.0
1960,21,1700.0
1973,Lada 2102,1700.0
1977,Lada 2103,1700.0
1974,Lada 2101,1700.0
1979,Lada 2101,1700.0
1958,21,1700.0
1978,Lada Niva,1833.3
1978,Moskvich 412,1833.3
1975,Lada 21011,1833.3
1976,Lada 2106,1833.3
1977,Lada 2101,1833.3
1977,Lada 2101,1833.3
1972,Lada 21011,1833.3
1976,Lada 2106,1833.3
1978,Hunter,1833.3
1972,Lada 2101,1833.3
1978,Lada 2102,1833.3
1976,Lada 2102,1833.3
1975,Lada 2111,1833.3
1976,Прочее,1833.3
1979,Lada 2106,1833.3
1976,Lada 2101,1833.3
1976,Lada 2101,1833.3
1972,GAZ 24 Volga,1833.3
1977,Lada 2106,1695.0
1979,Lada 2102,2125.0
1977,Lada 2101,2083.3
1973,Lada 2101,2083.3
1979,69,2083.3
1973,Lada 2102,2083.3
1960,21,2083.3
1975,Lada 2105,2083.3
1979,Lada 2102,2083.3
1961,UAZ 469,2083.3
1978,Lada 2106,2083.3
1970,21,2083.3
1967,21,2083.3
1977,Lada 2102,2083.3
1977,Lada 2101,2083.3
1974,21103,2083.3
1978,UAZ 469,2083.3
1976,Lada 2103,2083.3
1971,Moskvich 412,2083.3
1975,Lada 21011,2083.3
1976,Lada 2106,2083.3
1975,Lada 2101,2083.3
1974,Lada 2101,2083.3
1979,31514-012,2083.3
1972,Lada 2101,2083.3
1979,UAZ 469,2083.3
1978,Lada 2106,2083.3
1961,407,2083.3
1978,Lada 2102,2083.3
1964,UAZ 3151,2083.3
1978,Lada 2106,2083.3
1976,Lada 2101,2083.3
1978,eT7,2083.3
1976,Lada 2103,2083.3
1977,Другая,2083.3
1976,Lada 2101,2083.3
1973,Lada 2102,2083.3
1975,Lada 2106,2083.3
1979,UAZ 2206,2083.3
1979,Lada 2103,2083.3
1979,Lada 2106,2083.3
1900,Lada 2103,1900.0
1976,Lada 21013,1900.0
1978,Lada 2102,1900.0
1968,965,1900.0
1979,Lada 2111,1900.0
1979,Lada 2102,1899.0
1963,965,2000.0
1959,21,2120.0
1978,Lada 2103,2100.0
1977,69,2100.0
1979,Lada 2102,2100.0
1974,GAZ 24 Volga,2100.0
1978,Lada 2101,2100.0
1976,Lada 2102,2100.0
1975,Lada 2111,2100.0
1978,Lada 2101,2100.0
1963,21,2091.0
1978,Lada 2102,2250.0
1978,Lada Niva,2250.0
1978,Прочее,2250.0
1979,UAZ 469,2208.3
1976,Другая,2015.0
1978,Lada 2111,2166.7
1978,Lada 2102,2166.7
1975,Lada 2103,2000.0
1979,Lada 2101,2000.0
1975,31013,2000.0
1967,21,1500.0
1976,Lada 2106,2000.0
1975,Lada 2106,2000.0
1978,230,2000.0
1976,Lada 2102,2000.0
1973,Lada 2102,2000.0
1959,21,2000.0
1974,Lada 2106,2000.0
1979,Lada 2101,2000.0
1958,21,2000.0
1978,Lada 2106,2000.0
1964,21,2000.0
1977,Lada 2101,2000.0
1965,965,2000.0
1961,21,2000.0
1977,Lada 2106,2000.0
1977,GAZ 2401,2000.0
1974,Lada 2106,2000.0
1959,21,2000.0
1948,400,2000.0
1977,Lada 2101,2000.0
1979,Lada 2101,2000.0
1978,Lada 2106,2000.0
1977,Lada 2106,2000.0
1962,21,2000.0
1976,Lada 2102,2000.0
1954,M-20,2000.0
1972,69,2000.0
1970,Lada 2101,2000.0
1974,GAZ 24 Volga,2000.0
1977,Lada 2102,2000.0
1974,Lada 2106,2000.0
1978,Lada 2106,2000.0
1977,Lada 21011,2000.0
1977,Lada 2101,2000.0
1972,Lada 2101,2000.0
1979,Lada 2106,2000.0
1976,Lada 2103,2000.0
1963,21,2000.0
1977,GAZ 3110,2000.0
1976,Lada 2102,2000.0
1978,Lada 2102,2000.0
1978,Lada 21011,2000.0
1962,21,2000.0
1978,GAZ 2402,2000.0
1976,Lada 21011,2000.0
1978,GAZ 24 Volga,2000.0
1978,Moskvich 412,2000.0
1979,Lada 21011,2000.0
1973,Lada 2101,2000.0
1959,21,2000.0
1979,Lada 2106,2000.0
1955,M-20,2000.0
1974,Lada 2101,2000.0
1978,Lada 2106,1800.0
1974,Lada 21011,2000.0
1969,21,2000.0
1973,Lada 2101,2000.0
1975,Прочее,2000.0
1973,21,2000.0
1977,Lada 2101,2000.0
1978,Lada 2101,2000.0
1977,Moskvich 412,2300.0
1973,Lada 2111,2300.0
1978,Lada 2101,2300.0
1960,21,2300.0
1978,Lada 2101,2300.0
1978,Lada 2111,2300.0
1976,GAZ 24 Volga,2300.0
1979,Lada 2101,2300.0
1979,Lada 2102,2300.0
1976,Lada 2101,2300.0
1978,Lada 2106,2300.0
1970,69,2200.0
1976,Lada 2102,2200.0
1979,Lada 2106,2200.0
1978,GAZ 24 Volga,2200.0
1977,Lada 2102,2200.0
1977,GAZ 2401,2200.0
1977,Lada 2101,2200.0
1977,E 230,2200.0
1976,Lada 2102,2200.0
1975,Lada 2102,2200.0
1978,Lada 2101,2200.0
1978,Lada 2101,2200.0
1975,Lada 2101,2200.0
1979,Lada 2106,2200.0
1978,Lada 2102,2200.0
1975,Lada 2102,2200.0
1979,Lada 2106,2200.0
1978,Lada 2102,2200.0
1972,Прочее,2333.3
1975,Lada 2103,2333.3
1976,GAZ 24 Volga,2333.3
1979,Другая,2666.7
1975,Lada 2103,2666.7
1978,Lada 2102,2666.7
1978,Lada 2102,2400.0
1979,Lada 2102,2400.0
1970,21,2400.0
1976,Lada 2102,2400.0
1979,Lada 2102,2400.0
1973,GAZ 24 Volga,2500.0
1978,Lada Niva,2500.0
1974,Lada 2101,2500.0
1977,22,2500.0
1979,Lada 2101,2500.0
1979,Lada 2101,2500.0
1969,69,2500.0
1979,Lada 2106,2500.0
1975,GAZ 2401,2500.0
1966,21,2500.0
1976,Lada 2106,2500.0
1967,21,2500.0
1969,21,2500.0
1979,Lada Niva 4x4,2500.0
1976,Moskvich 2140,2500.0
1977,Lada 2102,2500.0
1968,69,2500.0
1967,21,2654.0
1979,Lada 21011,2600.0
1978,Lada 2102,2600.0
1979,Moskvich 412,2600.0
1974,Lada 2103,2600.0
1976,Lada 2102,2600.0
1976,Lada 2102,2600.0
1975,ZAZ Oka,2600.0
1975,69,2350.0
1975,Lada 2102,2500.0
1973,Lada 2103,2500.0
1979,Lada 2102,2500.0
1975,Lada 2111,2500.0
1968,21,2500.0
1978,Lada 2103,2500.0
1977,3111,2500.0
1973,Lada 2102,2500.0
1969,21,2500.0
1979,Lada 2102,2500.0
1978,Lada 2102,2500.0
1960,21,2500.0
1960,21,2500.0
1958,407,2500.0
1979,BMW 520,2500.0
1975,Lada 2105,2500.0
1975,Lada 2103,2500.0
1956,20,2500.0
1979,Lada 2101,2500.0
1979,GAZ 24 Volga,2500.0
1974,Lada 2103,2500.0
1973,Lada 2101,2500.0
1978,Lada 2106,2500.0
1976,Lada 2102,2500.0
1974,GAZ 2402,2500.0
1962,407,2500.0
1976,Lada 2106,2500.0
1961,Прочее,2500.0
1979,Lada 2101,2500.0
1974,Lada 2103,2500.0
1979,Lada 2102,2500.0
1968,21,2500.0
1978,Lada 2103,2500.0
1976,GAZ 24 Volga,2500.0
1963,407,2500.0
1978,Lada 2103,2500.0
1974,Lada 2103,2500.0
1979,Lada 2106,2500.0
1957,21,2500.0
1978,Lada 2106,2500.0
1954,401,3000.0
1976,GAZ 2401,2700.0
1973,Lada 2101,2700.0
1965,965,2700.0
1968,69,2700.0
1968,21,2700.0
1974,Lada 2101,2700.0
1970,Прочее,2700.0
1964,Lada 2107,2700.0
1974,31514-012,2916.7
1976,Lada 2111,2916.7
1974,Lada 2101,2916.7
1978,UAZ 469,2916.7
1974,Lada 2101,2916.7
1900,UAZ 469,2916.7
1976,Pickup,2916.7
1974,Lada 2106,2916.7
1973,Lada 2102,2916.7
1979,Pickup,2916.7
1979,GAZ 24 Volga,2916.7
1979,Другая,2916.7
1958,21,2916.7
1974,Lada 2103,2950.0
1967,Lada 2101,2900.0
1966,21,2900.0
1968,21,2900.0
1965,21,2900.0
1977,Pickup,3083.3
1977,UAZ 2206,2800.0
1976,Lada 2106,2800.0
1976,Lada 2106,2800.0
1978,GAZ 24 Volga,2800.0
1955,M-20,2800.0
1979,Lada 2101,2800.0
1976,Lada 2106,2800.0
1967,21,2800.0
1958,21,2800.0
1977,Lada 21011,2800.0
1974,Lada 2101,2800.0
1978,Lada Niva,2800.0
1979,GAZ 24 Volga,2800.0
1977,Opel Omega,3000.0
1977,Lada 2101,3000.0
1978,GAZ 2401,3000.0
1965,965,3000.0
1979,Lada 2102,3000.0
1975,Lada 21011,3000.0
1972,Lada 2111,3000.0
1968,22,3000.0
1979,Granada,3000.0
1971,69,3000.0
1976,Lada 2101,3000.0
1964,965,3000.0
1960,21,3000.0
1977,Прочее,3000.0
1965,21,3000.0
1979,BMW 520,3000.0
1976,Lada 2106,3000.0
1961,407,3000.0
1967,21,3000.0
1960,407,3000.0
1979,Lada 2111,3000.0
1976,Lada 2106,3000.0
1932,Admiral,3000.0
1971,Прочее,3000.0
1976,Lada 2103,3000.0
1978,GAZ 24 Volga,3000.0
1979,Lada 2102,3000.0
1978,21,3000.0
1978,Opel Rekord,3000.0
1975,GAZ 24 Volga,3000.0
1964,21,3000.0
1977,Lada 2102,3000.0
1964,1103,3000.0
1977,Lada 2101,3000.0
1961,21,3000.0
1973,Lada 2101,3000.0
1941,Прочее,3000.0
1953,Прочее,3000.0
1970,434,5000.0
1972,Lada 21011,5200.0
1970,Moskvich 2137 Kombi,5100.0
1964,21,5100.0
1951,21,5416.7
1978,UAZ 469,5833.3
1976,Lada 21011,5800.0
1952,20,5900.0
1955,401,10000.0
1964,21,6000.0
1967,21,6000.0
1979,UAZ 469,6000.0
1967,21,6000.0
1955,20,5999.0
1956,21,6500.0
1977,Lada 2103,7000.0
1959,21,7000.0
1942,Moskvich 412,7000.0
1965,21,7000.0
1968,21,7000.0
1968,Прочее,7000.0
1918,Chevrolet Spark,7000.0
1971,69,7000.0
1979,GAZ 24 Volga,7000.0
1977,GAZ 24 Volga,7000.0
1965,Прочее,7400.0
1966,Прочее,7777.0
1976,UAZ 3303,8333.3
1955,M-20,8000.0
1952,ЗИМ,8000.0
1961,21,8000.0
1960,Прочее,8000.0
1960,Прочее,8000.0
1960,21,3200.0
1979,Lada 2103,3200.0
1966,21,3200.0
1975,Lada 2102,3200.0
1979,Lada 2106,3200.0
1953,20М,3200.0
1974,Lada 2101,3200.0
1978,Lada 2106,3416.7
1959,69,3100.0
1958,69,3100.0
1962,21,3750.0
1976,Lada 2106,3750.0
1977,UAZ 3151,3750.0
1971,Lada 2101,3400.0
1958,21,3400.0
1978,Lada 2106,3300.0
1978,GAZ 24 Volga,3300.0
1979,Lada 2103,3300.0
1974,Lada 2106,3500.0
1960,21М,3500.0
1977,Lada 2101,3500.0
1963,21,3500.0
1978,Lada 2101,3500.0
1968,69,3500.0
1974,Lada 2101,3500.0
1978,Lada 2106,3500.0
1968,69,3500.0
1953,69,3500.0
1964,21М,3500.0
1978,Lada 2104,3500.0
1968,ZAZ 968,3500.0
1947,69,3500.0
1974,GAZ 24 Volga,3500.0
1968,69,3700.0
1979,UAZ 469,3916.7
1978,Lada Niva,3600.0
1966,21,4283.3
1968,21,3900.0
1967,69,4166.7
1979,31519-010,4166.7
1979,GAZ 24 Volga,4166.7
1900,69,4166.7
1977,21,4166.7
1976,UAZ 469,3600.0
1977,Lada 2101,3800.0
1979,Lada 2111,3800.0
1964,69,4000.0
1970,21,4000.0
1979,Lada Niva,4000.0
1954,M-20,4000.0
1969,21,4000.0
1960,UAZ 3151,4000.0
1977,UAZ 469,4000.0
1978,Lada 2101,4000.0
1958,410,4000.0
1973,Lada 2103,4000.0
1943,31512-010,4000.0
1956,Другая,4000.0
1979,UAZ 469,4000.0
1956,M-20,4000.0
1968,21,4000.0
1949,M-20,4000.0
1974,Lada 2111,4000.0
1978,Lada 21011,4000.0
1978,Lada 2106,4000.0
1968,21М,3999.0
1979,Starlet,4583.3
1975,GAZ 24 Volga,4583.3
1912,Lada 2107,4583.3
1965,21,4583.3
1975,Lada 2101,4300.0
1968,21,4500.0
1978,Lada 2106,4500.0
1966,21,4500.0
1961,21,4500.0
1975,Lada 2106,4500.0
1970,21,4500.0
1956,69,4500.0
1956,M-20,4500.0
1974,Lada 2103,4500.0
1976,UAZ 3303,5000.0
1950,20,5000.0
1979,Lada Niva,5000.0
1978,Lada 2101,5000.0
1974,GAZ 2401,5000.0
1964,21,5000.0
1969,21М,5000.0
1960,21,5000.0
1977,Lada 2111,12500.0
1943,69,12000.0
1935,М1,12000.0
1975,300,12000.0
1964,21М,12000.0
1950,69,12000.0
1968,21УС,8500.0
1970,Дана,8500.0
1970,Прочее,8500.0
1920,Chevrolet Lacetti,11000.0
1961,S 550,23000.0
1961,13 Чайка,23000.0
1968,21,50000.0
1946,Five Hundred,50000.0
1934,Прочее,46000.0
1973,13 Чайка,45000.0
1932,М1,45000.0
1972,13 Чайка,45000.0
1933,Прочее,45000.0
1932,Прочее,45000.0
1932,Прочее,45000.0
1932,М1,45000.0
1932,М1,45000.0
1932,М1,45000.0
1930,Прочее,44000.0
1933,Прочее,43000.0
1930,М1,39500.0
1950,Прочее,150000.0
1919,Lada Kalina Wagon,14000.0
1937,Vivaro,99000.0
1961,13 Чайка,85000.0
1974,13 Чайка,85000.0
1968,21,79999.0
1975,Lada 2103,15000.0
1937,Прочее,15000.0
1950,67,16666.7
1955,ЗИМ,16000.0
1937,М1,16000.0
1968,21Р,17000.0
1955,12 ЗИМ,18000.0
1976,200,20000.0
1960,21,20000.0
1950,67,20000.0
1976,200,20000.0
1977,13 Чайка,20000.0
1939,200,20000.0
1970,21,20000.0
1961,21,23000.0
